,item,Date,Price,Item,Location,Details
472,"['1312', ' groceries', ' summit']",2024-06-20,1312, groceries, summit,
473,"['200', ' snacks', ' summit', ' tiramisu']",2024-06-20,200, snacks, summit, tiramisu
474,"['1030', ' groceries', ' cando']",2024-06-20,1030, groceries, cando,
475,"['600', ' work stuff', ' amazon', ' hdmi cord']",2024-06-20,600, work stuff, amazon, hdmi cord
476,"['690', ' lunch', ' torisho']",2024-06-20,690, lunch, torisho,
478,"['325', ' snacks', ' famima']",2024-06-21,325, snacks, famima,
479,"['540', ' lunch', ' donmaru']",2024-06-21,540, lunch, donmaru,
480,"['1426', ' snacks', ' summit']",2024-06-21,1426, snacks, summit,
482,"['2138', ' groceries', ' welpark', ' rice']",2024-06-22,2138, groceries, welpark, rice
483,"['2220', ' massage', ' riracle']",2024-06-22,2220, massage, riracle,
484,"['540', ' cafe time', ' doutour']",2024-06-22,540, cafe time, doutour,
486,"['2300', ' social dinner', ' kanmuryo', ' with Ryan Sarah']",2024-06-23,2300, social dinner, kanmuryo, with Ryan Sarah
488,"['450', ' lunch', ' summit']",2024-06-24,450, lunch, summit,
489,"['206', ' groceries', ' summit']",2024-06-24,206, groceries, summit,
491,"['470', ' groceries', ' 7-11']",2024-06-25,470, groceries, 7-11,
492,"['2631', ' groceries', ' summit']",2024-06-25,2631, groceries, summit,
494,"['1090', ' lunch', ' yakiniku like']",2024-06-26,1090, lunch, yakiniku like,
496,"['100', ' drink', ' vending']",2024-06-27,100, drink, vending,
497,"['850', ' dinner', ' sharin', ' ramen']",2024-06-27,850, dinner, sharin, ramen
499,"['510', ' dinner', ' donmaru']",2024-06-28,510, dinner, donmaru,
501,"['3990', ' groceries', ' summit']",2024-06-29,3990, groceries, summit,
502,"['1094', ' household', ' cando']",2024-06-29,1094, household, cando,
503,"['341', ' snacks', ' 7-11']",2024-06-29,341, snacks, 7-11,
504,"['1202', ' plant supplies', ' amazon']",2024-06-29,1202, plant supplies, amazon,
505,"['915', ' groceries', ' summit', ' breakfast food']",2024-06-29,915, groceries, summit, breakfast food
507,"['226', ' running sustenance', ' 7-11', ' gel']",2024-06-30,226, running sustenance, 7-11, gel
508,"['1990', ' shorts', ' uniqlo']",2024-06-30,1990, shorts, uniqlo,
509,"['14900', ' shoes', ' step sports', ' invincible run 3']",2024-06-30,14900, shoes, step sports, invincible run 3
510,"['415', ' household', ' welpark', ' mold goods']",2024-06-30,415, household, welpark, mold goods
511,"['751', ' groceries', ' summit']",2024-06-30,751, groceries, summit,
513,"['110', ' drink', ' vending']",2024-07-01,110, drink, vending,
514,"['313', ' snacks', ' famima']",2024-07-01,313, snacks, famima,
515,"['950', ' dinner', ' soba']",2024-07-01,950, dinner, soba,
516,"['687', ' household', ' welpark', ' toilet paper']",2024-07-01,687, household, welpark, toilet paper
519,"['1000', ' lunch', ' summit']",2024-07-03,1000, lunch, summit,
520,"['1879', ' groceries', ' summit']",2024-07-03,1879, groceries, summit,
521,"['2270', ' doctor', ' Tama clinic']",2024-07-03,2270, doctor, Tama clinic,
522,"['1000', ' dinner', ' endomon']",2024-07-03,1000, dinner, endomon,
523,"['960', ' cold meds', ' drugstore']",2024-07-03,960, cold meds, drugstore,
524,"['1706', ' snacks', ' welpark']",2024-07-03,1706, snacks, welpark,
527,"['650', ' coffee beans', ' life']",2024-07-05,650, coffee beans, life,
528,"['155', ' snacks', ' life']",2024-07-05,155, snacks, life,
529,"['1000', ' lunch', ' morichuka', ' ramen']",2024-07-05,1000, lunch, morichuka, ramen
531,"['850', ' lunch', ' abura', ' ramen']",2024-07-06,850, lunch, abura, ramen
532,"['2500', ' dinner', ' toriki']",2024-07-06,2500, dinner, toriki,
533,"['300', ' hydration', ' conbini']",2024-07-06,300, hydration, conbini,
534,"['5970', ' clothes', ' uniqlo']",2024-07-06,5970, clothes, uniqlo,
535,"['2500', ' dinner', ' torikizoku']",2024-07-06,2500, dinner, torikizoku,
536,"['8000', ' entertainment', ' ocean peoples']",2024-07-06,8000, entertainment, ocean peoples,
538,"['2280', ' groceries', ' summit']",2024-07-07,2280, groceries, summit,
539,"['150', ' hydration', ' vending']",2024-07-07,150, hydration, vending,
540,"['105', ' hydration', ' cocokara']",2024-07-07,105, hydration, cocokara,
541,"['1210', ' skincare', ' cocokara', ' sunscreen vit c']",2024-07-07,1210, skincare, cocokara, sunscreen vit c
543,"['1298', ' groceries', ' summit']",2024-07-08,1298, groceries, summit,
544,"['492', ' household', ' cocokara', ' bodywash']",2024-07-08,492, household, cocokara, bodywash
546,"['6800', ' electrical appliance', ' r-1', ' fan']",2024-07-09,6800, electrical appliance, r-1, fan
547,"['1949', ' snacks', ' summit']",2024-07-09,1949, snacks, summit,
549,"['1500', ' lunch', ' stunts', ' srilankan curry']",2024-07-10,1500, lunch, stunts, srilankan curry
550,"['890', ' dinner', ' sharin', ' ramen']",2024-07-10,890, dinner, sharin, ramen
552,"['2421', ' groceries', ' summit']",2024-07-11,2421, groceries, summit,
554,"['990', ' lunch', ' sharin', ' ramen']",2024-07-12,990, lunch, sharin, ramen
555,"['890', ' dinner', ' abura', ' ramen']",2024-07-12,890, dinner, abura, ramen
557,"['416', ' groceries', ' summit']",2024-07-13,416, groceries, summit,
558,"['1000', ' snacks', ' summit']",2024-07-13,1000, snacks, summit,
559,"['590', ' doc', ' Tama clinic']",2024-07-13,590, doc, Tama clinic,
562,"['1700', ' lunch', ' homeward']",2024-07-15,1700, lunch, homeward,
563,"['2239', ' snacks', ' gyomu super']",2024-07-15,2239, snacks, gyomu super,
565,"['990', ' lunch', ' sharin', ' ramen']",2024-07-16,990, lunch, sharin, ramen
566,"['990', ' dinner', ' sharin', ' ramen']",2024-07-16,990, dinner, sharin, ramen
568,"['645', ' lunch', ' summit']",2024-07-17,645, lunch, summit,
569,"['800', ' dinner', ' Hidakaya']",2024-07-17,800, dinner, Hidakaya,
571,"['510', ' dinner', ' donmaru']",2024-07-18,510, dinner, donmaru,
572,"['580', ' lunch', ' torisho']",2024-07-18,580, lunch, torisho,
574,"['850', ' lunch', ' kouka hanten']",2024-07-19,850, lunch, kouka hanten,
575,"['417', ' snacks', ' welpark']",2024-07-19,417, snacks, welpark,
576,"['1000', ' dinner', ' summit']",2024-07-19,1000, dinner, summit,
577,"['1112', ' snacks', ' summit']",2024-07-19,1112, snacks, summit,
579,"['2720', ' doc', ' Tama clinic']",2024-07-20,2720, doc, Tama clinic,
580,"['645', ' lunch', ' summit']",2024-07-20,645, lunch, summit,
582,"['1661', ' dinner', ' shack shack']",2024-07-21,1661, dinner, shack shack,
583,"['7000', ' social lunch', ' dream door', ' yokohama bbq']",2024-07-21,7000, social lunch, dream door, yokohama bbq
585,"['1300', ' dinner', ' Taiwanese place']",2024-07-22,1300, dinner, Taiwanese place,
586,"['795', ' snacks', ' welpark']",2024-07-22,795, snacks, welpark,
588,"['700', ' lunch', ' McDonald’s']",2024-07-23,700, lunch, McDonald’s,
589,"['10310', ' hospital', ' Tama shiritsu']",2024-07-23,10310, hospital, Tama shiritsu,
591,"['640', ' snacks', ' summit']",2024-07-24,640, snacks, summit,
592,"['530', ' social drink', ' Starbucks']",2024-07-24,530, social drink, Starbucks,
594,"['500', ' lunch', ' summit']",2024-07-25,500, lunch, summit,
595,"['459', ' groceries', ' summit']",2024-07-25,459, groceries, summit,
596,"['2595', ' groceries', ' gyomu super']",2024-07-25,2595, groceries, gyomu super,
598,"['4000', ' social dinner', ' tres hermanos']",2024-07-26,4000, social dinner, tres hermanos,
599,"['600', ' social snacks', ' what the dickens']",2024-07-26,600, social snacks, what the dickens,
600,"['700', ' taxi', ' to Ebisu']",2024-07-26,700, taxi, to Ebisu,
602,['Nothing!'],2024-07-27,Nothing!,,,
